code,valo_260326,prix_arrondi_260326,ecart_260326,profil_260326,source_prix_260326,source_ecart_260326,valo_260306,prix_arrondi_260306,ecart_260306,profil_260306,source_prix_260306,source_ecart_260306,delta_ecart_premier_vs_second,note
100952,101718.820000,101718.820000,0.000000,REV/AA/AN/FIN/R/360/BSF,table Valorisation,"acceptable (tolérance ±0,02) | REV/AA/AN/FIN/R/360/BSF",101580.380000,101580.380000,0.000000,REV/AA/AN/FIN/R/360/BSF,table Valorisation,"acceptable (tolérance ±0,02) | REV/AA/AN/FIN/R/360/BSF",0.000000,OK les deux dates
100953,102388.870000,102388.870000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",102248.060000,102248.060000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100954,100875.490000,100875.490000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100781.870000,100781.870000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100957,101752.060000,101752.060000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101629.930000,101630.510000,0.580000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,a corriger (table Valorisation) | FIX/AA/AN/FIN/R/R/BSF,0.580000,OK ref_date | ecart autre date
100958,101996.150000,101996.150000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",102520.440000,102520.440000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100959,101743.370000,101743.370000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101627.060000,101627.060000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100962,101638.830000,101638.830000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101518.920000,101518.920000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100963,101654.170000,101654.170000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101664.920000,101664.920000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100964,101412.250000,101412.250000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101961.760000,101961.760000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100969,101318.650000,101318.650000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",101347.410000,101347.410000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100970,104603.080000,104603.080000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",104690.630000,104690.630000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100971,100890.740000,100890.740000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100930.960000,100930.960000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100972,100642.630000,100642.630000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100554.270000,100554.270000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100974,100299.080000,100299.080000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100604.910000,100604.910000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100975,100538.100000,100538.100000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100454.060000,100454.060000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100977,100393.430000,100393.430000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100314.980000,100314.980000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100979,100326.070000,100326.070000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",100243.100000,100243.100000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
100983,103426.220000,103426.220000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",103410.210000,103410.210000,0.000000,FIX/AA/AN/FIN/R/R/BSF,table Valorisation,"acceptable (tolérance ±0,02) | FIX/AA/AN/FIN/R/R/BSF",0.000000,OK les deux dates
