code,date_valo,prix_manar,prix_moteur_sql,ecart,abs_ecart,classification_finale,meilleur_scenario,reduction_pct,reste_apres_choc,type_titre,methode_valo,cause_probable
9346,2026-01-02,20350.5,20349.9898,0.5102000000006228,0.5102000000006228,Partiellement courbe,G2_joint_moins1bp,66.3857,-0.171500,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.5102). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9351,2026-01-02,47815.06,47814.90486,0.15513999999529915,0.15513999999529915,Probablement pas courbe seule,base_sql,0.0000,0.155140,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.1551). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9363,2026-01-02,108406.93,108406.93018,-0.00018000000272877514,0.00018000000272877514,Dans la tolérance (sensibilité),base_sql,0.0000,-0.000180,ATP,AA,Écart résiduel ≤ tolérance Manar. Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9395,2026-01-02,62118.13,62117.7762,0.3537999999971362,0.3537999999971362,Partiellement courbe,G2_joint_moins1bp,92.3403,-0.027100,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.3538). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9402,2026-01-02,61717.21,61716.9053,0.3047000000005937,0.3047000000005937,Partiellement courbe,G2_joint_moins1bp,91.7952,-0.025000,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.3047). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9411,2026-01-02,104984.22,104983.8189,0.4011000000027707,0.4011000000027707,Partiellement courbe,G2_joint_moins1bp,64.4228,0.142700,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.4011). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9424,2026-01-02,76539.99,76539.6657,0.32430000000749715,0.32430000000749715,Principalement courbe,G2_joint_moins1bp,98.7357,0.004100,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.3243). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9452,2026-01-02,51183.09,51182.9825,0.10749999999825377,0.10749999999825377,Probablement pas courbe seule,base_sql,0.0000,0.107500,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.1075). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9473,2026-01-02,68853.57,68853.149716,0.42028400000708643,0.42028400000708643,Partiellement courbe,G2_joint_moins1bp,80.6512,0.081320,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.4203). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9487,2026-01-02,75296.68,75286.6402,10.03979999999865,10.03979999999865,Probablement pas courbe seule,base_sql,0.0000,10.039800,amort/ATP,AA,Écart Manar hors tolérance (-10.0398). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9488,2026-01-02,100111.58,100112.5323,-0.9523000000044703,0.9523000000044703,Probablement pas courbe seule,base_sql,0.0000,-0.952300,ATP,AA,Écart Manar hors tolérance (+0.9523). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9502,2026-01-02,20273.69,20273.4221,0.26789999999891734,0.26789999999891734,Partiellement courbe,G2_joint_moins1bp,65.4349,0.092600,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-0.2679). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9518,2026-01-02,72224.06,72222.8045,1.2554999999993015,1.2554999999993015,Probablement pas courbe seule,G2_joint_moins1bp,37.7220,0.781900,amort/ATP/METH_ZC,ZC,Écart Manar hors tolérance (-1.2555). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
9524,2026-01-02,99764.18,99765.1224,-0.9423999999999069,0.9423999999999069,Probablement pas courbe seule,base_sql,0.0000,-0.942400,ATP,AA,Écart Manar hors tolérance (+0.9424). Pas de WG calé à cette date : Manar fichier possiblement basé sur un autre G2/grille. Date WG=2026-03-26 ≠ valeur test 2026-01-02
